Exchange Date,Close,Net,%Chg,Open,Low,High
2024-04-22,1067.81,5.07999999999993,0.0047801417105002,1063.63,1061.95,1069.61
2024-04-19,1062.73,-15.1600000000001,-0.0140645149319505,1077.39,1054.16,1077.51
2024-04-18,1077.89,3.02000000000021,0.0028096420962537,1076.24,1072.81,1083.88
2024-04-17,1074.87,3.80999999999995,0.0035572236849475,1070.8,1070.46,1076.86
2024-04-16,1071.06,-20.72,-0.0189781824177032,1091.6,1070.13,1091.64
2024-04-12,1103.61,-13.0900000000001,-0.0117220381481151,1116.74,1103.61,1117.06
2024-04-11,1116.7,-3.08999999999992,-0.0027594459675474,1117.28,1112.68,1118.3
2024-04-10,1119.79,2.21000000000004,0.0019774870702768,1119.16,1116.54,1125.9
2024-04-09,1117.58,10.0699999999999,0.0090924686910275,1108.37,1108.14,1120.14
2024-04-08,1107.51,4.82999999999993,0.0043802372401784,1102.26,1101.73,1108.51
2024-04-05,1102.68,-1.06999999999994,-0.000969422423556,1103.47,1097.37,1104.49
2024-04-04,1103.75,4.70000000000005,0.0042764205450161,1100.68,1099.88,1106.39
2024-04-03,1099.05,-6.03999999999996,-0.0054656181849441,1105.74,1097.32,1106.15
2024-04-02,1105.09,9.43999999999983,0.0086158901108929,1095.53,1095.13,1106.03
2024-04-01,1095.65,-0.949999999999818,-0.0008663140616449,1097.78,1094.72,1098.88
2024-03-29,1096.6,2.68999999999983,0.0024590688447859,1094.07,1093.84,1097.87
2024-03-28,1093.91,4.19000000000005,0.0038450244099402,1089.59,1087.23,1096.89
2024-03-27,1089.72,-1.79999999999995,-0.0016490765171503,1091.6,1087.07,1092.3
2024-03-26,1091.52,1.23000000000002,0.0011281402195746,1091.13,1086.42,1095.9
2024-03-25,1090.29,-1.6400000000001,-0.0015019277792533,1091.17,1089.38,1094.95
2024-03-22,1091.93,-8.57999999999993,-0.0077963853122642,1099.95,1086.78,1101.31
2024-03-21,1100.51,14.78,0.0136129608650401,1088.47,1088.46,1103.23
2024-03-20,1085.73,0.779999999999973,0.0007189271394994,1085.24,1080.63,1088.13
2024-03-19,1084.95,-9.62999999999988,-0.0087978950830454,1094.33,1084.49,1094.49
2024-03-18,1094.58,1.84999999999991,0.0016930074217784,1092.81,1091.85,1097.84
2024-03-14,1105.46,1.87000000000012,0.0016944698665266,1104.64,1100.26,1107.94
2024-03-13,1103.59,-3.81000000000017,-0.0034404912407442,1107.64,1100.22,1111.16
2024-03-12,1107.4,8.74000000000001,0.0079551453588917,1098.74,1096.77,1108.67
2024-03-11,1098.66,1.01999999999998,0.0009292664261506,1097.78,1094.68,1100.78
2024-03-08,1097.64,6.83000000000015,0.0062614020773555,1092.53,1091.87,1102.78
2024-03-07,1090.81,3.34999999999991,0.0030805730785499,1088.6,1088.13,1094.98
2024-03-06,1087.46,8.36000000000013,0.0077471967380225,1078.69,1075.95,1089.34
2024-03-05,1079.1,-6.82000000000016,-0.0062803889789304,1085.54,1078.51,1087.5
2024-03-04,1085.92,6.30000000000018,0.0058353865248885,1080.52,1080.38,1088.67
2024-03-01,1079.62,3.76999999999998,0.0035042059766695,1075.8,1073.04,1081.04
2024-02-29,1075.85,2.30999999999995,0.0021517595990833,1073.15,1071.03,1077.7
2024-02-28,1073.54,-10.77,-0.0099325838551705,1084.55,1072.4,1085.61
2024-02-27,1084.31,5.39999999999986,0.0050050513944628,1079.25,1074.55,1084.95
2024-02-26,1078.91,-3.00999999999999,-0.0027820910973084,1082.21,1078.59,1084.24
2024-02-23,1081.92,-0.929999999999836,-0.0008588447153343,1082.81,1081.68,1087.15
2024-02-22,1082.85,8.40999999999985,0.007827333308514,1075.5,1074.11,1084.48
2024-02-21,1074.44,2.09000000000015,0.0019489905348068,1073.32,1068.22,1080.26
2024-02-20,1072.35,5.7199999999998,0.005362684342274,1066.72,1065.64,1073.61
2024-02-19,1066.63,-1.58999999999992,-0.0014884574338618,1068.71,1064.46,1069.29
2024-02-16,1068.22,8.41000000000008,0.0079353846444174,1060.94,1059.97,1069.0
2024-02-14,1046.75,4.51999999999998,0.0043368546290166,1041.04,1036.13,1046.9
2024-02-13,1042.23,-1.21000000000004,-0.0011596258529479,1043.72,1039.85,1045.8
2024-02-12,1043.44,0.289999999999964,0.00027800412213,1044.08,1041.56,1044.43
2024-02-09,1043.15,-2.93999999999983,-0.0028104656387116,1046.19,1040.59,1046.22
2024-02-08,1046.09,-5.97000000000003,-0.0056745812976446,1052.0,1045.44,1053.15
2024-02-07,1052.06,0.710000000000036,0.0006753222047843,1052.1,1050.77,1057.1
2024-02-06,1051.35,17.6599999999999,0.0170844256982266,1034.36,1034.21,1052.17
2024-02-05,1033.69,-3.05999999999995,-0.0029515312273932,1034.47,1031.7,1039.98
2024-02-02,1036.75,1.00999999999999,0.000975148203217,1036.93,1034.05,1043.47
2024-02-01,1035.74,4.82999999999993,0.0046851810536321,1030.6,1027.88,1036.86
2024-01-31,1030.91,-3.48000000000002,-0.003364301665716,1035.19,1027.98,1035.32
2024-01-30,1034.39,-9.67999999999984,-0.0092714090051431,1044.95,1033.71,1045.26
2024-01-29,1044.07,6.59999999999991,0.0063616297338717,1037.77,1037.26,1046.44
2024-01-26,1037.47,-2.91000000000008,-0.00279705492224,1040.52,1033.96,1041.29
2024-01-25,1040.38,6.81000000000017,0.0065888135298046,1033.55,1033.1,1041.41
2024-01-24,1033.57,14.7199999999999,0.0144476615792314,1018.8,1018.32,1036.12
